arm,ema,ema_at_stop,seed,term,reached,last_step,value_at_30k,value_at_stop,change_30k_to_40k
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,40000,40000,0.475036,0.552954,+0.077918
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,l_rep,40000,9999,,11.668880,
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,align_reduced,40000,40000,0.473881,0.552033,+0.078152
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,40000,40000,0.305394,0.330024,+0.024630
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,40000,40000,0.464901,0.471198,+0.006297
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,l_rep,40000,9999,,11.657469,
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,align_reduced,40000,40000,0.463585,0.470034,+0.006448
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,cos_err,40000,40000,0.314576,0.301476,-0.013100
dec_s23,0.9 to 1.0 at 100k,0.940,20260523,loss,22900,22900,,0.737509,
dec_s23,0.9 to 1.0 at 100k,0.940,20260523,rep_w,22900,22900,,0.000000,
dec_s23,0.9 to 1.0 at 100k,0.940,20260523,l_rep,22900,9999,,11.657211,
dec_s23,0.9 to 1.0 at 100k,0.940,20260523,align_reduced,22900,22900,,0.736265,
dec_s23,0.9 to 1.0 at 100k,0.940,20260523,cos_err,22900,22900,,0.483141,
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,loss,40000,40000,0.643154,0.720800,+0.077646
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,l_rep,40000,9999,,11.641962,
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,align_reduced,40000,40000,0.642310,0.720155,+0.077846
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,cos_err,40000,40000,0.444731,0.481547,+0.036816
dec_s25,0.9 to 1.0 at 100k,0.940,20260525,loss,22700,22700,,1.476310,
dec_s25,0.9 to 1.0 at 100k,0.940,20260525,rep_w,22700,22700,,0.000000,
dec_s25,0.9 to 1.0 at 100k,0.940,20260525,l_rep,22700,9999,,11.668681,
dec_s25,0.9 to 1.0 at 100k,0.940,20260525,align_reduced,22700,22700,,1.476212,
dec_s25,0.9 to 1.0 at 100k,0.940,20260525,cos_err,22700,22700,,0.805696,
dec_m099_fix,0.99 fixed,0.990,20260520,loss,40000,40000,0.640309,0.459786,-0.180523
dec_m099_fix,0.99 fixed,0.990,20260520,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_m099_fix,0.99 fixed,0.990,20260520,l_rep,40000,9999,,11.637845,
dec_m099_fix,0.99 fixed,0.990,20260520,align_reduced,40000,40000,0.639723,0.459353,-0.180370
dec_m099_fix,0.99 fixed,0.990,20260520,cos_err,40000,40000,0.435447,0.310362,-0.125085
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,loss,40000,40000,0.400023,0.208005,-0.192018
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,l_rep,40000,9999,,11.667520,
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,align_reduced,40000,40000,0.398036,0.206075,-0.191962
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,cos_err,40000,40000,0.266779,0.150815,-0.115964
dec_m070_fix,0.7 fixed,0.700,20260520,loss,40000,40000,0.689536,0.366881,-0.322654
dec_m070_fix,0.7 fixed,0.700,20260520,rep_w,40000,40000,0.000000,0.000000,+0.000000
dec_m070_fix,0.7 fixed,0.700,20260520,l_rep,40000,9999,,11.691747,
dec_m070_fix,0.7 fixed,0.700,20260520,align_reduced,40000,40000,0.687736,0.364142,-0.323594
