config,domain,term,prediction_length,rollout_steps
bitbrains_fast_storage/5T/long,Web/CloudOps,long,720,45
bitbrains_fast_storage/5T/medium,Web/CloudOps,medium,480,30
bitbrains_fast_storage/5T/short,Web/CloudOps,short,48,3
bitbrains_fast_storage/H/short,Web/CloudOps,short,48,3
bitbrains_rnd/5T/long,Web/CloudOps,long,720,45
bitbrains_rnd/5T/medium,Web/CloudOps,medium,480,30
bitbrains_rnd/5T/short,Web/CloudOps,short,48,3
bitbrains_rnd/H/short,Web/CloudOps,short,48,3
bizitobs_application/10S/long,Web/CloudOps,long,900,57
bizitobs_application/10S/medium,Web/CloudOps,medium,600,38
bizitobs_application/10S/short,Web/CloudOps,short,60,4
bizitobs_l2c/5T/long,Web/CloudOps,long,720,45
bizitobs_l2c/5T/medium,Web/CloudOps,medium,480,30
bizitobs_l2c/5T/short,Web/CloudOps,short,48,3
bizitobs_l2c/H/long,Web/CloudOps,long,720,45
bizitobs_l2c/H/medium,Web/CloudOps,medium,480,30
bizitobs_l2c/H/short,Web/CloudOps,short,48,3
bizitobs_service/10S/long,Web/CloudOps,long,900,57
bizitobs_service/10S/medium,Web/CloudOps,medium,600,38
bizitobs_service/10S/short,Web/CloudOps,short,60,4
car_parts/M/short,Sales,short,12,1
covid_deaths/D/short,Healthcare,short,30,2
electricity/15T/long,Energy,long,720,45
electricity/15T/medium,Energy,medium,480,30
electricity/15T/short,Energy,short,48,3
electricity/D/short,Energy,short,30,2
electricity/H/long,Energy,long,720,45
electricity/H/medium,Energy,medium,480,30
electricity/H/short,Energy,short,48,3
electricity/W/short,Energy,short,8,1
ett1/15T/long,Energy,long,720,45
ett1/15T/medium,Energy,medium,480,30
ett1/15T/short,Energy,short,48,3
ett1/D/short,Energy,short,30,2
ett1/H/long,Energy,long,720,45
ett1/H/medium,Energy,medium,480,30
ett1/H/short,Energy,short,48,3
ett1/W/short,Energy,short,8,1
ett2/15T/long,Energy,long,720,45
ett2/15T/medium,Energy,medium,480,30
ett2/15T/short,Energy,short,48,3
ett2/D/short,Energy,short,30,2
ett2/H/long,Energy,long,720,45
ett2/H/medium,Energy,medium,480,30
ett2/H/short,Energy,short,48,3
ett2/W/short,Energy,short,8,1
hierarchical_sales/D/short,Sales,short,30,2
hierarchical_sales/W/short,Sales,short,8,1
hospital/M/short,Healthcare,short,12,1
jena_weather/10T/long,Nature,long,720,45
jena_weather/10T/medium,Nature,medium,480,30
jena_weather/10T/short,Nature,short,48,3
jena_weather/D/short,Nature,short,30,2
jena_weather/H/long,Nature,long,720,45
jena_weather/H/medium,Nature,medium,480,30
jena_weather/H/short,Nature,short,48,3
kdd_cup_2018/D/short,Nature,short,30,2
kdd_cup_2018/H/long,Nature,long,720,45
kdd_cup_2018/H/medium,Nature,medium,480,30
kdd_cup_2018/H/short,Nature,short,48,3
loop_seattle/5T/long,Transport,long,720,45
loop_seattle/5T/medium,Transport,medium,480,30
loop_seattle/5T/short,Transport,short,48,3
loop_seattle/D/short,Transport,short,30,2
loop_seattle/H/long,Transport,long,720,45
loop_seattle/H/medium,Transport,medium,480,30
loop_seattle/H/short,Transport,short,48,3
m4_daily/D/short,Econ/Fin,short,14,1
m4_hourly/H/short,Econ/Fin,short,48,3
m4_monthly/M/short,Econ/Fin,short,18,2
m4_quarterly/Q/short,Econ/Fin,short,8,1
m4_weekly/W/short,Econ/Fin,short,13,1
m4_yearly/A/short,Econ/Fin,short,6,1
m_dense/D/short,Transport,short,30,2
m_dense/H/long,Transport,long,720,45
m_dense/H/medium,Transport,medium,480,30
m_dense/H/short,Transport,short,48,3
restaurant/D/short,Sales,short,30,2
saugeen/D/short,Nature,short,30,2
saugeen/M/short,Nature,short,12,1
saugeen/W/short,Nature,short,8,1
solar/10T/long,Energy,long,720,45
solar/10T/medium,Energy,medium,480,30
solar/10T/short,Energy,short,48,3
solar/D/short,Energy,short,30,2
solar/H/long,Energy,long,720,45
solar/H/medium,Energy,medium,480,30
solar/H/short,Energy,short,48,3
solar/W/short,Energy,short,8,1
sz_taxi/15T/long,Transport,long,720,45
sz_taxi/15T/medium,Transport,medium,480,30
sz_taxi/15T/short,Transport,short,48,3
sz_taxi/H/short,Transport,short,48,3
temperature_rain/D/short,Nature,short,30,2
us_births/D/short,Healthcare,short,30,2
us_births/M/short,Healthcare,short,12,1
us_births/W/short,Healthcare,short,8,1
